full_name,primary_channel,primary_match_reason,primary_confidence,all_channels,channel_count
fdp_dev_std_internal.std_internal_sapanzecc.allocation_of_bill_of_material_items_to_operations__plmz,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.allocation_of_bill_of_material_items_to_operations__plmz_hist,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.allocation_structure__tkb5e,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.allocation_structure__tkb5e_hist,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.allocations_cycles__t811c,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.allocations_cycles__t811c_hist,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.allocations_element_table__t811f,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.allocations_element_table__t811f_hist,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.allocations_information_for_field_groups__t811j,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.allocations_information_for_field_groups__t811j_hist,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.allocations_key_fields__t811k,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.allocations_segments__t811s,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.allocations_segments__t811s_hist,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.allocations_text_for_field_groups__t811m,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.allocations_text_for_field_groups__t811m_hist,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.assessments_distributions_long_text__t811l,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.assessments_distributions_long_text__t811l_hist,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.asset_class_depreciation_area__ankb,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.asset_class_depreciation_area__ankb_hist,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.asset_classes_description__ankt,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.asset_classes_description__ankt_hist,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.asset_classes_general_data__anka,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.asset_classes_general_data__anka_hist,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.asset_master_record_segment__anla,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.asset_master_record_segment__anla_hist,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.asset_periodic_values__anlp,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.asset_value_fields__anlc,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.asset_value_fields__anlc_hist,C,high_density_source:sapanzecc_99pct,HIGH,C,1
fdp_dev_std_internal.std_internal_sapanzecc.assign_internal_to_language_dependent_unit__t006a,C,high_density_source:sapanzecc_99pct,HIGH,C,1
