node,is_seed,first_seen_hop,first_seen_dir,n_upstream,n_upstream_mainland,n_downstream,n_downstream_mainland,mainland_in_ratio,mainland_out_ratio,bridge_score,category,sep_business_entity,sep_location,sep_employee,sep_customer,sep_material,sep_sales_org,catalog,schema,table_name
fdp_dev_srv_internal.srv_internal_sapanzecc.fact_batch_crossplant,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_sapanzecc,fact_batch_crossplant
fdp_dev_srv_internal.srv_internal_sapanzecc.fact_order_master_data,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_sapanzecc,fact_order_master_data
fdp_dev_srv_internal.srv_internal_sapanzecc.fact_sales_document_business,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_sapanzecc,fact_sales_document_business
fdp_dev_srv_internal.srv_internal_sapanzecc.fact_sales_document_item_status,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_sapanzecc,fact_sales_document_item_status
fdp_dev_srv_internal.srv_internal_sapanzecc.fact_stock_disposal_workflow_header,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_sapanzecc,fact_stock_disposal_workflow_header
fdp_dev_srv_internal.srv_internal_sapanzecc.fact_stock_disposal_workflow_item,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_sapanzecc,fact_stock_disposal_workflow_item
fdp_dev_srv_internal.srv_internal_sapanzecc.fact_stock_disposal_workflow_item_handling_units,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_sapanzecc,fact_stock_disposal_workflow_item_handling_units
fdp_dev_srv_internal.srv_internal_sapanzecc.fact_workflow_request,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_sapanzecc,fact_workflow_request
fdp_dev_srv_internal.srv_internal_sapanzecc.ft_batch_crossplant,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_sapanzecc,ft_batch_crossplant
fdp_dev_srv_internal.srv_internal_sapanzecc.ft_material_doc_seg_au,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_sapanzecc,ft_material_doc_seg_au
fdp_dev_srv_internal.srv_internal_sapanzecc.md_customer_group_material,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_sapanzecc,md_customer_group_material
fdp_dev_srv_internal.srv_internal_sapanzecc.md_customer_material,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_sapanzecc,md_customer_material
fdp_dev_srv_internal.srv_internal_sapanzecc.md_movement_type_text,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_sapanzecc,md_movement_type_text
fdp_dev_srv_internal.srv_internal_sapanzecc.sales_org_material,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_sapanzecc,sales_org_material
fdp_dev_srv_internal.srv_internal_sapanzecc.sales_org_promotional_group,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_sapanzecc,sales_org_promotional_group
fdp_dev_srv_internal.srv_internal_sapanzecc.ship_to_material_strategytype,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_sapanzecc,ship_to_material_strategytype
fdp_dev_srv_internal.srv_internal_source_to_pay.dim_ref_material_group_desc,false,1,down,1,1,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_source_to_pay,dim_ref_material_group_desc
fdp_dev_srv_internal.srv_internal_source_to_pay.fact_purchase_order_file,false,1,down,2,2,0,0,1.000,,0.000,MAINLAND_SINK,0,0,0,0,0,0,fdp_dev_srv_internal,srv_internal_source_to_pay,fact_purchase_order_file
